不良反应事件（CTCAE）,不良反应事件（抽取可对应）,不良反应事件（抽取不可对应）,
〸二指肠穿孔,十二指肠溃疡穿孔,Stevens-Johnson综合征,
〸二指肠溃疡,十二指肠溃疡穿孔,白癜风,
白细胞数降低,白细胞计数降低,,
白细胞数降低,白细胞数降低,,
白细胞数降低,白细胞减少,鼻咽炎,
败血症,败血症,出血,
背痛,背痛,痤疮样皮炎,
鼻塞,鼻塞,多器官功能障碍综合征,
便秘,便秘,多形性红斑和史蒂文斯-约翰逊综合征,
丙氨酸氨基转移酶增高,转氨酶升高,放射性肺炎,
丙氨酸氨基转移酶增高,肝功能异常,,
勃起障碍,勃起功能障碍,肺动脉血栓形成,
肠梗阻,肠梗阻,肺泡出血,
唇炎,唇炎,肺栓塞,
痤疮样皮疹,皮疹,蜂窝织炎,
痤疮样皮疹,痤疮,,
痤疮样皮疹,皮疹或痤疮,,
痤疮样皮疹,痤疮样皮疹,,
痤疮样皮疹,皮疹/痤疮,,
带状疱疹,带状疱疹,复发性多软骨炎,
蛋白尿,蛋白尿,肝肾功能损伤,
低钾血症,低钾血症,,
低钾血症,低血钾,肝损伤,
窦性心动过缓,窦性心动过缓,格林-巴利综合征,
窦性心动过缓,心动过缓,,
窦性心动过速,心动过速,汗疱疹,
窦性心动过速,窦性心动过速,,
多毛症,多毛症,红斑,
恶心,恶心,红斑狼疮性皮疹,
恶心,恶心和呕吐,,
发热,发热,呼吸系统ADR,
非传染性膀胱炎,非传染性膀胱炎,机会感染,
非传染性膀胱炎,膀胱炎,,
肺感染,细菌性肺炎,间质性肺病、间质性肺炎,
肺感染,肺感染,,
肺炎,肺炎,间质性肾炎,
肺炎,严重肺炎,,
肺炎,致命性肺炎,,
肺炎,嗜酸性肺炎,,
腹泻,腹泻,结核病,
腹痛,腹痛,,
高血压,高血压,局部/区域复发,
关节炎,关节炎,局部出血,
过敏反应,过敏反应,局部红肿硬结,
过敏反应,过敏,,
咳嗽,咳嗽,菌尿症,
呼吸困难,呼吸困难,克罗恩病,
呼吸衰竭,呼吸衰竭,狼疮,
肌酐增高,肌酐增高,黏膜反应,
肌酐增高,血肌酐增高,,
肌酐增高,肌酐升高,,
肌肉痉挛,肌肉痉挛,脓毒症,
肌酸磷酸激酶增高,肌酸磷酸激酶增高,疱疹性皮疹和口腔疱疹,
肌酸磷酸激酶增高,肌酸激酶升高,,
肌酸磷酸激酶增高,肌酸磷酸激酶升高,,
肌酸磷酸激酶增高,血肌酸磷酸激酶升高,,
肌痛,肌痛,皮肤反应,
肌痛,肌肉酸痛,,
肌痛,肌肉劳损,,
急性肾损伤,急性肾损伤,皮肤粘膜毒性,
急性肾损伤,肾损伤,,
急性肾损伤,急性肾小管坏死,,
急性肾损伤,急性肾衰,,
甲沟炎,甲沟炎,皮肤肿胀,
甲状腺功能亢进症,甲状腺功能亢进症,皮肤灼烧感,
甲状腺功能亢进症,甲状腺功能亢进,,
焦虑,焦虑,全身肿胀,
角膜炎,角膜炎,肾小球滤过降低,
结肠溃疡,结肠溃疡,视网膜炎,
结肠溃疡,溃疡性结肠炎,,
结膜炎,结膜炎,室间隔增厚,
局限性水肿,局限性水肿,味觉改变,
局限性水肿,水肿,,
局限性水肿,周围水肿,,
局限性水肿,眼睛水肿,,
局限性水肿,双下肢水肿,,
菌血症,菌血症,胃肠道反应,
菌血症,脓毒症,,
口腔黏膜炎,口腔粘膜炎,,
口腔黏膜炎,口腔黏膜炎,涡状角膜病变,
口腔黏膜炎,口腔炎,,
口腔黏膜炎,口腔溃疡,,
口腔黏膜炎,舌炎,,
口腔黏膜炎,口腔苔藓样病变,,
口腔黏膜炎,口腔念珠菌病,,
口腔黏膜炎,口炎,,
淋巴细胞计数降低,淋巴细胞减少,消化道穿孔,
淋巴细胞计数降低,淋巴细胞计数降低,,
流行性感冒样症状,流行性感冒样症状,心肌收缩力改变,
流行性感冒样症状,感冒,,
流行性感冒样症状,流感,,
面部水肿,面部水肿,心脏瓣膜疾病,
尿路感染,尿路感染,心脏毒性,
呕吐,呕吐,心脏器官ADR,
呕吐,恶心和呕吐,,
排尿困难,排尿困难,心脏射血分数减低,
皮肤干燥,皮肤干燥,心脏事件,
皮肤干燥,皮肤皲裂,,
皮肤干燥,干皮肤,,
皮肤干燥,干燥皮肤,,
疲劳,疲劳,药物反应伴有嗜酸细胞增多系统症状,
疲劳,乏力和疲劳,,
贫血,贫血,银屑病,
葡萄膜炎,葡萄膜炎,远处复发,
气胸,自发性气胸,指甲毒性,
气胸,气胸,,
全身乏力,全身乏力,中枢神经系统毒性,
全身乏力,乏力,,
全身乏力,乏力和疲劳,,
溶血,溶血,中枢神经系统复发,
瘙痒症,瘙痒,灼烧感,
瘙痒症,皮肤瘙痒,,
瘙痒症,瘙痒症,,
瘙痒症,瘙痒和痒疹,,
手足综合征,手足综合征,,
上呼吸道感染,上呼吸道感染,,
声嘶,声嘶,,
湿疹,湿疹,,
室颤,室颤,,
室上性心动过速,室上性心动过速,,
嗜酸性细胞增多,嗜酸性粒细胞增多,,
四肢痛,四肢疼痛,,
天冬氨酸氨基转移酶增高,转氨酶升高,,
头痛,头痛,,
脱发,脱发,,
脱发,斑秃,,
脱水,脱水,,
味觉障碍,味觉障碍,,
味觉障碍,味觉改变,,
限制性心肌病,限制性心肌病,,
限制性心肌病,心肌病,,
心包积液,心包积液,,
心包填塞,心包填塞,,
心电图QTc间期延长,QT间期延长,,
心电图QTc间期延长,QTc间期延长,,
心电图QTc间期延长,长QT综合征,,
心电图QTc间期延长,心电图QTc延长,,
心电图QTc间期延长,心电图QT间期延长,,
心肌梗死,心肌梗死,,
心悸,心悸,,
心悸,心慌,,
心力衰竭,心力衰竭,,
心跳骤停,心脏骤停,,
心跳骤停,心脏骤停,,
胸膜感染,胸膜炎,,
胸膜感染,胸膜感染,,
胸腔积液,胸腔积液,,
胸痛—心源性,胸痛—心源性,,
胸痛—心源性,心绞痛,,
眩晕,头晕,,
眩晕,眩晕,,
血胆红素增高,血胆红素增高,,
血胆红素增高,高胆红素血症,,
血管炎,血管炎,,
血管炎,皮肤血管炎,,
血栓栓塞事件,血栓,,
血小板计数降低,血小板减少,,
血小板计数降低,血小板计数降低,,
荨麻疹,荨麻疹,,
厌食症,厌食症,,
厌食症,食欲下降,,
厌食症,食欲减退,,
咽炎,咽炎,,
咽炎,鼻咽炎,,
胰腺炎,胰腺炎,,
胰腺炎,急性胰腺炎,,
抑郁症,抑郁症,,
抑郁症,抑郁,,
中毒性表皮坏死,中毒性表皮坏死,,
中毒性表皮坏死,表皮坏死,,
中毒性表皮坏死,中毒性表皮坏死松解症,,
中枢神经系统坏死,中枢神经系统放射性坏死,,
中性粒细胞计数降低,中性粒细胞减少,,
中性粒细胞计数降低,中性粒细胞计数降低,,
注射部位反应,注射部位反应,,
注射部位反应,注射部位红斑,,
注射部位反应,输血部位红肿或淤伤,,
左心室收缩功能不全,左心室射血分数降低,,
左心室收缩功能不全,左心室收缩功能不全,,
左心室收缩功能不全,左心室功能不全,,
咳嗽,咳嗽,,
